Profile_Name,Rating_Star,Headings,Base_Reviews,
Kenneth Henry,5.0 out of 5 stars,Easy to use and a nice app!,Love using it to watch football on sundays!,
John,5.0 out of 5 stars,Great,Great app for watching all sports,
Justin,1.0 out of 5 stars,Not worth it.,I really donâ€™t have much use for this app. There are others that offer more for less.,
Humberto Jimenez,5.0 out of 5 stars,Report,Translate review to English,
Lamar,3.0 out of 5 stars,Didn't use the product.,I watch the local Fox channel.,
Jason Carl,1.0 out of 5 stars,Fubo are crooks!,"Do not waste your money on fubo. They have the absolute worst customer service I've ever seen. I was charged twice in 2 days. They refunded one charge, but deactivated my account even though I'm still paid from the 1st charge. Nothing but crooks and horrible customer service!",
Rick Niday,3.0 out of 5 stars,??,No review at this time,
Dodger26,5.0 out of 5 stars,Just okay for me,I found the navigation difficult.  I did not see anything that I don't already get.  Sports fan would love it.,
Michael Simmons,1.0 out of 5 stars,Continues to bill after service is cancelled.,"I signed up for the trial to watch one game.Prior to the service expiring, I attempted to cancel and they would not allow me to do so online - instead forcing me to pull for the next month.Customer service removed the charge and assured me the service was cancelled.They continued to bill me for the next two months and I was forced to reach out to them again.Still waiting on resolution...",
Mawmaw vg,1.0 out of 5 stars,You donâ€™t get Jack,You donâ€™t get Jack. Misleading,
Big HOG Fan!,5.0 out of 5 stars,Football Season!,"Got this to watch just about any football game I want to see... but it includes a lot of other programs as well. I think it is a bit pricey, and it sometimes reboots a bit, but I haven't missed a ballgame I wanting to see...",
Amazon Customer,3.0 out of 5 stars,So expensive,This is so expensive! Itâ€™s cable prices marketed as a streaming app.,
Daniel Williams,1.0 out of 5 stars,Setting up,I could not get the website to work,
Amazon Customer,4.0 out of 5 stars,Might have to cut this one out,It's hard to pick when you have the fire stick. Which one is the best?,
Amazon Customer,3.0 out of 5 stars,Buffers alot,Buffers a lot when trying to watch a program or game. Guide is extremely difficult to use,
B. L. ðŸ’¯â™¥,1.0 out of 5 stars,"Deceptive Advertising ""free download""","Free download, but a monthly fee to view TV and movie programs after a free 7 days trial. I will be deleting this app without using the free trial. I hate deceptive practices.  ðŸ’©",
Ebony Floyd,4.0 out of 5 stars,Great way to contact friends and family,It's good ðŸ‘�,
Keegan Maher,4.0 out of 5 stars,Good,"Great app, although it has more premium benefits than non premium benefits.ðŸ˜�",
Mary Scranage,5.0 out of 5 stars,AMAZING!!!!,"This app was amazing, not only could you add friends who had the app but you can use their number. Very good ap. Recommend it!!!!",
Ashley witten,5.0 out of 5 stars,Ohen22,I Love this app so much,
Whitni Payne,5.0 out of 5 stars,Amazing!!â˜º,It's a very Fun and Enjoyable app! 5/5 I recommend!!,
Aleynah,5.0 out of 5 stars,FIVE STAR,I LOVE THIS app my sis showd me it and its amazing I recommend it ass games that you can play and it has good camera Quality even if you have a Android!!!!!,
Brandon H.,5.0 out of 5 stars,Amazing,Amazing for people that don't have phones,
Wasi,4.0 out of 5 stars,It's great but a few things need to be fixed,"It's a great app! All though you need ""premium"" for quite alot of stuff, and there's always a red dot above my account even though there's no notifications or something, but all negative things aside, it is a very VERY good app for all ages ... ðŸ‘�",
You,3.0 out of 5 stars,Not good or bad,I think its not bad but not good you don't send my messages fast I needed to talk to someone fast and message me fast but you guys wait at like 9am,
Amazon Customer,5.0 out of 5 stars,Awesome app!,"The app does what it says. You can talk to friends and family, call or text ( if you have a tablet like me), and it's pretty fun to use!5 stars!",
Kat Estes,5.0 out of 5 stars,amazing,I get to call my friends and no glitches so 5 stars â­�â­�â­�â­�â­�,
Lola,5.0 out of 5 stars,I love this,I love this I can talk to my friends and send pictures and I  can call him its so fun!,
Cynthia Likar,5.0 out of 5 stars,Calling,so grate for calling friends,
Adult deny,3.0 out of 5 stars,Adult deng,I mean its ok but not the best it could use some work on calling people also I don't Like how I have to put an id to get someone because they might not know my id we should just put in a phone number overall its pretty good,
ceairrah saxon,5.0 out of 5 stars,My favorite appðŸ¦„,Just talk is my favorite Facetime call you name ITIT has so much fun things and I love it some people would say they hate it but I don't care it is the best for me and my friends to call each other I love to just talk make sure you create more stuff like thisðŸ¤—And sometimes it's sometimes like lack is probably being come because of our internet but I love love just talk please make more like this I just love it I just can't get off my mind me and my friend Has been calling each other nonstop because of this app if you guys don't know me and My friend love this app I do too so I hope you guys make more content like this this could actually make you guys famous because of what it does I love this so so My friend love this app I do too so I hope you guys make more content like this this could actually make you guys famous because of what it does I love this so so much please please please make it again you guys don't know how much I love it guys They make this They make this for you to appreciate it so appreciate itforðŸ¤—ðŸ˜‡,
Tg,5.0 out of 5 stars,The funniest video chat ever,I would recommend you always playing this game every single day when I came but like video chat It is so fun you can talk with your Friends your parents whoever you want to talk to literally I could do this for days in hours in months and years it's so fun I rated5 out of 5Good good so good.,
Shanice carrion,5.0 out of 5 stars,F,Wow so good it really helps for when I'm on the go,
Monica,5.0 out of 5 stars,So Cool!,I love this because I can stay in contact with my friends and family and it's so fun and it's like A game for you to love and it's not a game I'm sorry and It's a texting app and it's really good because you can stay in contact with your friends and family.(sorry I said that twice.),
Amazon Customer,4.0 out of 5 stars,Good,It's nice to have it doesn't send messages sometimes though.,
Amazon Customer,5.0 out of 5 stars,Best,This is a great app for me and my friends and my family I just love it,
Justice League,5.0 out of 5 stars,Oh level,It is so awesome to use I love it,
Emilyn,5.0 out of 5 stars,Epic!,I can call all my friends and text them! It is a Mimic of messenger kids but I love it! I love the doodle the most!,
Paula-Gene,1.0 out of 5 stars,Absolutely horrible interface and regular crashing,"I have had this service for over 8 months.  In that time, the amount of recorded shows that had technical difficulties and crashed without recording the rest of the episode or having to start all over and find where it crashed is substantial.  And they only carry the locally covered NHL games so if you are a hockey fan, this is a terrible option.  Ultimately, this service drove me nuts and was extremely more frustration than an actual ""service"".  The only benefit it had over some other services (ie. Youtube TV) is that they are actual recordings that you can fast forward and skip commercials (as long as it doesn't crash the interface which happens regularly).  Otherwise, trying to figure out how to run the interface was and still is a complete nightmare.  At least on an LG smart TV.  I have to scroll up to get to a menu 6 or 7 times before it actually does it.  The UI is completely unintuitive and a nightmare to figure out.  Even when you finally figure out the completely unintuitive actions you have to take to pull up a menu while watching a show, you have to do it over and over and over before it actually does it.  The frustration level with this service is way beyond what its worth at one of the highest price points of all streaming services.  I highly recommend anyone who's considering this to just move on to the next service on your list.  This one is terrible.",
WES,1.0 out of 5 stars,"FuboTv stinks, will not but again.","Streaming stutter, and it will not allow you to use your VPN service.  Hard time trying to reconnect to service after a system failure. Program options are very limited, more concentrated on sporting events than anything else.  The good is you can cancel at any time. Not for me!",
Kindle Customer,2.0 out of 5 stars,Eh,"I liked it at first, however there are too many things thatbyou need to buy.",
Sophia,1.0 out of 5 stars,not many designs,not many designs,
BabhBlues,1.0 out of 5 stars,Horrible,Horrible,
Empress,1.0 out of 5 stars,LISTEN,"This app is unusable. I purchased the app expecting to be able to unlock features in video. Basic design features don't exist even though it appears advanced and simple in the vid (they changed background colors but you won't). There is no option for png/ PDF files even though it is shown in the video. Unfortunately AFTER the purchase I realize the developer last updated this app on the very day of my purchase BUT in 2017. It's 2021! This is my L for you, don't repeat my mistake. Sales are FINAL.",
josh,1.0 out of 5 stars,Don't bother,Not baddd but not good,
Channon,1.0 out of 5 stars,Limited,There's not much you can do with this app. The app would benefit if it just became  a graphic design app instead of a logo design app. That would mean adding capability to add images.,
Nickie Laurence,2.0 out of 5 stars,Not a lot of options,I needed a potato but there was' n one .I am very disappointed.,
Railway,1.0 out of 5 stars,Already uninstalled,This program is very limited in what it can do and very difficult operate,
PitriJ,1.0 out of 5 stars,Words app ever!,Worse app ever it is so hard to make it bigger a smaller and I mess everything up!!!!!!!!,
B. Ellison,1.0 out of 5 stars,Crashing issue,It crashes evertime I try to open the app??,
Amazon Customer,1.0 out of 5 stars,What is this?,"I thought at the very least this would be a demo of the app, but no! This just a app to the payment page. I'm not paying for something if I can't even try it. Sorry.",
Dabbi,5.0 out of 5 stars,Works as I need it too,I don't need a program with a lot of bells and whistles so haven't used all of the functions this offers but for a free app it works very well and hasn't annoyed me with a million ads... so far. ;-),
Joy's Mom,1.0 out of 5 stars,Disappointed,"I gave 1 star because I couldn't give zero. Free version stopped working. When I try to create a new document, I only get a purchase pop up. The only way to move forward appears to be only through purchasing. When I asked for help, I was only offered an opportunity to buy the program.",
